cell	HRD	HR_proficient	HRD_score_sc	sample
BC08_24	BC08_24	0.071531105179693	-0.0715311051796931	0.143062210359386	BC08
BC08_27	BC08_27	-0.0134717337151807	0.0134717337151802	-0.0269434674303609	BC08
BC08_33	BC08_33	-0.073901761896098	0.0739017618960977	-0.147803523792196	BC08
BC08_36	BC08_36	0.050049743402085	-0.0500497434020864	0.100099486804171	BC08
BC08_48	BC08_48	0.0676892762600853	-0.067689276260085	0.13537855252017	BC08
BC08_51	BC08_51	-0.0816784312235354	0.081678431223535	-0.16335686244707	BC08
BC08_56	BC08_56	0.0746987434529016	-0.0746987434529019	0.149397486905804	BC08
BC08_59	BC08_59	0.152184387368058	-0.152184387368057	0.304368774736115	BC08
BC08_70	BC08_70	0.0188718810696886	-0.0188718810696891	0.0377437621393778	BC08
BC08_73	BC08_73	-0.00724451265267079	0.00724451265267131	-0.0144890253053421	BC08
BC08_94	BC08_94	0.144192350145559	-0.144192350145559	0.288384700291117	BC08
BC08_95	BC08_95	0.0490079454669166	-0.0490079454669165	0.0980158909338331	BC08
BC10_09	BC10_09	0.0105059695081781	-0.0105059695081784	0.0210119390163564	BC10
BC10_16	BC10_16	0.0543328558826169	-0.0543328558826174	0.108665711765234	BC10
BC10_47	BC10_47	0.0514895279702164	-0.051489527970216	0.102979055940432	BC10
BC10_54	BC10_54	-0.0620962917710631	0.0620962917710632	-0.124192583542126	BC10
BC10_58	BC10_58	0.0929418235198796	-0.09294182351988	0.18588364703976	BC10
BC10_69	BC10_69	0.0624173538308959	-0.0624173538308963	0.124834707661792	BC10
BC10_73	BC10_73	0.0596088627480335	-0.059608862748034	0.119217725496068	BC10
BC10_80	BC10_80	0.0327926770984277	-0.0327926770984284	0.0655853541968562	BC10
BC10_81	BC10_81	0.0679433792834855	-0.0679433792834853	0.135886758566971	BC10
BC10_85	BC10_85	-0.0520618268962562	0.0520618268962559	-0.104123653792512	BC10
BC10_95	BC10_95	-0.0798956682265485	0.0798956682265482	-0.159791336453097	BC10
BC02_02	BC02_02	-0.0490451572031295	0.0490451572031291	-0.0980903144062586	BC02
BC02_08	BC02_08	0.061753669397688	-0.0617536693976887	0.123507338795377	BC02
BC02_09	BC02_09	-0.153617263111604	0.153617263111604	-0.307234526223208	BC02
BC02_10	BC02_10	-0.067465217561549	0.0674652175615482	-0.134930435123097	BC02
BC02_11	BC02_11	-0.085364003836999	0.0853640038369981	-0.170728007673997	BC02
BC02_12	BC02_12	-0.0955190421028544	0.0955190421028539	-0.191038084205708	BC02
BC02_13	BC02_13	-0.000607519632427283	0.0006075196324271	-0.00121503926485438	BC02
BC02_14	BC02_14	-0.0470146690603353	0.0470146690603352	-0.0940293381206705	BC02
BC02_15	BC02_15	-0.0298662589417813	0.0298662589417813	-0.0597325178835625	BC02
BC02_18	BC02_18	0.0677153621014877	-0.0677153621014892	0.135430724202977	BC02
BC02_19	BC02_19	0.00834223352238239	-0.00834223352238297	0.0166844670447654	BC02
BC02_22	BC02_22	-0.0140392300559065	0.0140392300559056	-0.028078460111812	BC02
BC02_24	BC02_24	-0.0496916283198586	0.049691628319857	-0.0993832566397156	BC02
BC02_25	BC02_25	-0.0335560443123388	0.0335560443123385	-0.0671120886246773	BC02
BC02_26	BC02_26	0.0430511404955948	-0.0430511404955949	0.0861022809911897	BC02
BC02_28	BC02_28	-0.090084067104672	0.0900840671046715	-0.180168134209344	BC02
BC02_31	BC02_31	0.0363136311244173	-0.0363136311244171	0.0726272622488344	BC02
BC02_34	BC02_34	-0.0161110638537718	0.0161110638537722	-0.0322221277075441	BC02
BC02_44	BC02_44	-0.00312052056458623	0.00312052056458555	-0.00624104112917177	BC02
BC02_47	BC02_47	-0.00789628992303152	0.00789628992303169	-0.0157925798460632	BC02
BC02_50	BC02_50	0.0406902599665316	-0.0406902599665321	0.0813805199330637	BC02
BC02_51	BC02_51	-0.0375046624994835	0.0375046624994834	-0.0750093249989669	BC02
BC02_53	BC02_53	-0.0702765277122091	0.0702765277122082	-0.140553055424417	BC02
BC02_54	BC02_54	0.0398670201324902	-0.0398670201324909	0.0797340402649812	BC02
BC02_55	BC02_55	-0.0456299644309806	0.0456299644309796	-0.0912599288619603	BC02
BC02_58	BC02_58	0.0571335794874695	-0.0571335794874698	0.114267158974939	BC02
BC02_59	BC02_59	-0.0204128146523438	0.0204128146523445	-0.0408256293046883	BC02
BC02_60	BC02_60	-0.0244161145425646	0.0244161145425639	-0.0488322290851285	BC02
BC02_61	BC02_61	-0.0955862866378753	0.0955862866378761	-0.191172573275751	BC02
BC02_62	BC02_62	-0.010105807696491	0.0101058076964906	-0.0202116153929816	BC02
BC02_63	BC02_63	-0.0250779303796787	0.0250779303796782	-0.0501558607593569	BC02
BC02_64	BC02_64	-0.0498140354640988	0.049814035464099	-0.0996280709281979	BC02
BC02_66	BC02_66	0.000248233128919183	-0.000248233128919565	0.000496466257838749	BC02
BC02_67	BC02_67	-0.0855334900259732	0.0855334900259723	-0.171066980051945	BC02
BC02_68	BC02_68	0.0133197373280436	-0.0133197373280435	0.0266394746560871	BC02
BC02_70	BC02_70	-0.0659440093837034	0.0659440093837025	-0.131888018767406	BC02
BC02_71	BC02_71	0.0554148739176559	-0.0554148739176565	0.110829747835312	BC02
BC02_73	BC02_73	-0.00986536250122037	0.00986536250122001	-0.0197307250024404	BC02
BC02_74	BC02_74	-0.0409751220505042	0.0409751220505036	-0.0819502441010078	BC02
BC02_75	BC02_75	-0.0285517526794639	0.0285517526794621	-0.057103505358926	BC02
BC02_76	BC02_76	-0.021238967969917	0.0212389679699167	-0.0424779359398337	BC02
BC02_79	BC02_79	-0.0304756500472059	0.0304756500472055	-0.0609513000944114	BC02
BC02_81	BC02_81	-0.0336932487857341	0.0336932487857338	-0.0673864975714679	BC02
BC02_82	BC02_82	-0.0558744457379087	0.0558744457379088	-0.111748891475818	BC02
BC02_83	BC02_83	-0.0452306466336755	0.0452306466336754	-0.0904612932673508	BC02
BC02_86	BC02_86	-0.0526745728534114	0.0526745728534108	-0.105349145706822	BC02
BC02_88	BC02_88	-0.018185290349664	0.0181852903496642	-0.0363705806993281	BC02
BC02_89	BC02_89	0.0251376769397673	-0.0251376769397664	0.0502753538795336	BC02
BC02_90	BC02_90	-0.078457405585	0.0784574055850005	-0.15691481117	BC02
BC02_93	BC02_93	-0.0964442588053609	0.0964442588053604	-0.192888517610721	BC02
BC02_94	BC02_94	-0.0275704195300424	0.0275704195300418	-0.0551408390600842	BC02
BC02_95	BC02_95	0.00688519752055568	-0.00688519752055605	0.0137703950411117	BC02
BC02_96	BC02_96	-0.019723865539681	0.0197238655396799	-0.0394477310793609	BC02
BC05_01	BC05_01	0.026570605588275	-0.0265706055882747	0.0531412111765497	BC05
BC05_02	BC05_02	-0.0550054184513822	0.0550054184513812	-0.110010836902763	BC05
BC05_04	BC05_04	0.0946908306988012	-0.0946908306988003	0.189381661397602	BC05
